analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
40,20,true,,0.1433623196215491,0.35829600389954586,0.23848079282719287,31,36,15.0,39.0,0.8422994159237627,0.38364586535505685,0.261,33,2058,0.15,0.25,30
20,10,false,,0.16141401279900083,0.18669292407604804,0.04803388312508203,12,1,1.0,19.0,0.5662262326780535,0.0,0.2574,34,2059,0.15,0.25,30
30,15,false,,0.153260477310603,0.15056768537758622,-0.00806014897679376,17,25,1.0,29.0,0.4859304084720121,0.12798789712556732,0.2558,34,2059,0.15,0.25,30
40,20,true,,0.16026116770646434,0.28863561933533477,0.14163859112742727,34,36,17.0,39.0,0.7845107892403193,0.3065326633165829,0.254,34,2059,0.15,0.25,30
20,10,true,,0.1222890223786381,0.32669393028659177,0.20721162968506512,15,16,2.0,19.0,0.757015742642026,0.0,0.2852,35,2060,0.15,0.25,30
20,10,false,,0.15911771773916555,0.1277818364075951,-0.037087982019390495,7,1,1.0,18.0,0.422102596580114,0.0,0.3012,36,2061,0.15,0.25,30
30,15,true,,0.13395844941654342,0.22108846796638484,0.11683724111492949,21,27,2.0,29.0,0.7244897959183674,0.17633928571428573,0.2664,36,2061,0.15,0.25,30
20,10,false,,0.14371590209579452,0.22775794407644828,0.0957273542500846,14,16,2.0,19.0,0.6974912485414235,0.0,0.3286,37,2062,0.15,0.25,30
30,15,false,,0.14745039851148126,0.1623961117497615,0.021946927082505646,19,26,1.0,29.0,0.5375651640601042,0.13155473781048757,0.2786,37,2062,0.15,0.25,30
40,20,false,,0.1445663859915134,0.1614398879182237,0.01945028349991635,15,15,1.0,37.0,0.5772755039706781,0.10201588271227856,0.265,37,2062,0.15,0.25,30
50,25,true,,0.15289556625039974,0.31169706546650994,0.1859784180182049,33,40,4.0,48.0,0.9213029691553762,0.14874603632170655,0.2654,37,2062,0.15,0.25,30
20,10,false,,0.16837931377467055,0.16478401148459412,0.0021346510107761174,11,16,1.0,19.0,0.5092674315975286,0.0,0.3266,38,2063,0.15,0.25,30
30,15,false,,0.16035743149117895,0.1617259984212379,0.016947789277546865,14,26,1.0,29.0,0.5378905041756882,0.12186823383854005,0.2702,38,2063,0.15,0.25,30
